Estas plantillas coinciden con su entrada:

Nombre de la pl...  Nombre corto                            Idioma      Etiquetas                                                                                                                                                                                                               
DevExpress v26....  dx.win.scheduling                       [C#],VB     DevExpress/Windows/Desktop/WinForms/Office/Scheduler                                                                                                                                                                    
DevExpress v26....  dx.win.splashform                       [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.excel                            [C#],VB     DevExpress/Windows/Desktop/WinForms/Office/Excel                                                                                                                                                                        
DevExpress v26....  dx.win.mdi                              [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.mdiform                          [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.tileui.navigation                [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.toolbarform                      [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.toolbar                          [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.usercontrol                      [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.waitform                         [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.tileui.wizard                    [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.wizardform                       [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.word                             [C#],VB     DevExpress/Windows/Desktop/WinForms/Office/Word                                                                                                                                                                         
DevExpress v26....  dx.wpf.aichat                           [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.aichatrag                        [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.appbuilder                       [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.areachart                   [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.barchart                    [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.barcode                     [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.dashboard                        [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf                                  [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.datagrid                    [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.gridsidedetail              [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.diagram                     [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.donutchart                  [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.editform                    [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.editforminlinelabels        [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.spreadsheettopdf            [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.kanban                      [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.mailmerge                   [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.map                         [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.gridmasterdetail            [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.mergepdf                    [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.middletier                       [C#]        DevExpress/Windows/Desktop/WPF/Security/Authentication/Authorization/Web API/Service/API/Cloud/EF Core/OData/Swagger/Access Control/RBAC                                                                                
DevExpress v26....  dx.wpf.mvvm                             [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.odata                            [C#]        DevExpress/Windows/Desktop/WPF/Security/Authentication/Authorization/Web API/Service/API/Cloud/EF Core/OData/Swagger/Access Control/RBAC                                                                                
DevExpress v26....  dx.wpf.officefileapi                    [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
